"star_programs","program","specialty"
"New York Presbyterian Hospital (Cornell Campus)_Internal Medicine","New York Presbyterian Hospital (Cornell Campus)","Internal Medicine"
"New York University School of Medicine_Internal Medicine","New York University School of Medicine","Internal Medicine"
"Pennsylvania Hospital of the University of Pennsylvania Health System_Internal Medicine","Pennsylvania Hospital of the University of Pennsylvania Health System","Internal Medicine"
"UCLA Medical Center_Internal Medicine","UCLA Medical Center","Internal Medicine"
"University of Chicago_Internal Medicine","University of Chicago","Internal Medicine"
"University of Texas Southwestern Medical School_Internal Medicine","University of Texas Southwestern Medical School","Internal Medicine"
"UPMC Medical Education_Internal Medicine","UPMC Medical Education","Internal Medicine"
"Vanderbilt University Medical Center_Internal Medicine","Vanderbilt University Medical Center","Internal Medicine"
"Washington University/B-JH/SLCH Consortium_Internal Medicine","Washington University/B-JH/SLCH Consortium","Internal Medicine"
"Yale-New Haven Medical Center_Internal Medicine","Yale-New Haven Medical Center","Internal Medicine"
"Baton Rouge General Medical Center_Internal Medicine","Baton Rouge General Medical Center","Internal Medicine"
"Leonard J Chabert Medical Center_Internal Medicine","Leonard J Chabert Medical Center","Internal Medicine"
"Louisiana State University_Internal Medicine","Louisiana State University","Internal Medicine"
"Louisiana State University (Baton Rouge)_Internal Medicine","Louisiana State University (Baton Rouge)","Internal Medicine"
"Louisiana State University (Shreveport)_Internal Medicine","Louisiana State University (Shreveport)","Internal Medicine"
"Maricopa Medical Center_Internal Medicine","Maricopa Medical Center","Internal Medicine"
"Methodist Health System Dallas_Internal Medicine","Methodist Health System Dallas","Internal Medicine"
"Ochsner Clinic Foundation_Internal Medicine","Ochsner Clinic Foundation","Internal Medicine"
"Oklahoma State University Center for Health Sciences_Internal Medicine","Oklahoma State University Center for Health Sciences","Internal Medicine"
"Texas A&M College of Medicine-Scott and White_Internal Medicine","Texas A&M College of Medicine-Scott and White","Internal Medicine"
"Texas Tech University (Amarillo)_Internal Medicine","Texas Tech University (Amarillo)","Internal Medicine"
"Texas Tech University (Lubbock)_Internal Medicine","Texas Tech University (Lubbock)","Internal Medicine"
"Texas Tech University (Permian Basin)_Internal Medicine","Texas Tech University (Permian Basin)","Internal Medicine"
"Texas Tech University Health Sciences Center Paul L Foster School of Medicine_Internal Medicine","Texas Tech University Health Sciences Center Paul L Foster School of Medicine","Internal Medicine"
"Tulane University_Internal Medicine","Tulane University","Internal Medicine"
"University of Arizona College of Medicine_Internal Medicine","University of Arizona College of Medicine","Internal Medicine"
"University of Arizona College of Medicine at South Campus_Internal Medicine","University of Arizona College of Medicine at South Campus","Internal Medicine"
"University of Arizona College of Medicine-Phoenix_Internal Medicine","University of Arizona College of Medicine-Phoenix","Internal Medicine"
"University of New Mexico_Internal Medicine","University of New Mexico","Internal Medicine"
"University of Oklahoma School of Community Medicine (Tulsa)_Internal Medicine","University of Oklahoma School of Community Medicine (Tulsa)","Internal Medicine"
"University of Texas at Austin Dell Medical School_Internal Medicine","University of Texas at Austin Dell Medical School","Internal Medicine"
"University of Texas Health Science Center at Houston_Internal Medicine","University of Texas Health Science Center at Houston","Internal Medicine"
"University of Texas Health Science Center at Tyler/Good Shepherd Medical Center (Longview)_Internal Medicine","University of Texas Health Science Center at Tyler/Good Shepherd Medical Center (Longview)","Internal Medicine"
"University of Texas Health Science Center School of Medicine at San Antonio_Internal Medicine","University of Texas Health Science Center School of Medicine at San Antonio","Internal Medicine"
"University of Texas Medical Branch Hospitals_Internal Medicine","University of Texas Medical Branch Hospitals","Internal Medicine"
"University of Texas RGV (DHR)_Internal Medicine","University of Texas RGV (DHR)","Internal Medicine"
"University of Texas RGV (VBMC)_Internal Medicine","University of Texas RGV (VBMC)","Internal Medicine"
"William Beaumont Army Medical Center_Internal Medicine","William Beaumont Army Medical Center","Internal Medicine"
"Baylor University Medical Center_Internal Medicine","Baylor University Medical Center","Internal Medicine"
"Methodist Hospital (Houston)_Internal Medicine","Methodist Hospital (Houston)","Internal Medicine"
"University of Arkansas for Medical Sciences_Internal Medicine","University of Arkansas for Medical Sciences","Internal Medicine"
"University of Colorado_Internal Medicine","University of Colorado","Internal Medicine"
"University of Virginia_Internal Medicine","University of Virginia","Internal Medicine"
"Albert Einstein Healthcare Network_Internal Medicine","Albert Einstein Healthcare Network","Internal Medicine"
"Augusta University/University of Georgia Medical Partnership_Internal Medicine","Augusta University/University of Georgia Medical Partnership","Internal Medicine"
"Boston University Medical Center_Internal Medicine","Boston University Medical Center","Internal Medicine"
"Carolinas Medical Center_Internal Medicine","Carolinas Medical Center","Internal Medicine"
"Case Western Reserve University/University Hospitals Cleveland Medical Center_Internal Medicine","Case Western Reserve University/University Hospitals Cleveland Medical Center","Internal Medicine"
"Cedars-Sinai Medical Center_Internal Medicine","Cedars-Sinai Medical Center","Internal Medicine"
"Cleveland Clinic Foundation_Internal Medicine","Cleveland Clinic Foundation","Internal Medicine"
"George Washington University_Internal Medicine","George Washington University","Internal Medicine"
"Georgetown University Hospital_Internal Medicine","Georgetown University Hospital","Internal Medicine"
"Icahn School of Medicine at Mount Sinai (Elmhurst)_Internal Medicine","Icahn School of Medicine at Mount Sinai (Elmhurst)","Internal Medicine"
"Indiana University School of Medicine_Internal Medicine","Indiana University School of Medicine","Internal Medicine"
"Jackson Memorial Hospital/Jackson Health System_Internal Medicine","Jackson Memorial Hospital/Jackson Health System","Internal Medicine"
"Mayo Clinic College of Medicine and Science (Jacksonville)_Internal Medicine","Mayo Clinic College of Medicine and Science (Jacksonville)","Internal Medicine"
"Medical College of Georgia_Internal Medicine","Medical College of Georgia","Internal Medicine"
"Medical University of South Carolina_Internal Medicine","Medical University of South Carolina","Internal Medicine"
"Montefiore Medical Center/Albert Einstein College of Medicine (Moses and Weiler Campuses)_Internal Medicine","Montefiore Medical Center/Albert Einstein College of Medicine (Moses and Weiler Campuses)","Internal Medicine"
"Rutgers Robert Wood Johnson Medical School_Internal Medicine","Rutgers Robert Wood Johnson Medical School","Internal Medicine"
"Tufts Medical Center_Internal Medicine","Tufts Medical Center","Internal Medicine"
"University of Alabama Hospital_Internal Medicine","University of Alabama Hospital","Internal Medicine"
"University of California (Irvine)_Internal Medicine","University of California (Irvine)","Internal Medicine"
"University of California (San Diego)_Internal Medicine","University of California (San Diego)","Internal Medicine"
"University of Kansas School of Medicine_Internal Medicine","University of Kansas School of Medicine","Internal Medicine"
"University of Louisville_Internal Medicine","University of Louisville","Internal Medicine"
"University of Maryland_Internal Medicine","University of Maryland","Internal Medicine"
"University of Miami/JFK Medical Center Palm Beach Regional GME Consortium_Internal Medicine","University of Miami/JFK Medical Center Palm Beach Regional GME Consortium","Internal Medicine"
"University of Tennessee_Internal Medicine","University of Tennessee","Internal Medicine"
"Wake Forest University School of Medicine_Internal Medicine","Wake Forest University School of Medicine","Internal Medicine"
"University of Michigan_Internal Medicine","University of Michigan","Internal Medicine"
"University of Minnesota_Internal Medicine","University of Minnesota","Internal Medicine"
"University of North Carolina Hospitals_Internal Medicine","University of North Carolina Hospitals","Internal Medicine"
"University of Pennsylvania_Internal Medicine","University of Pennsylvania","Internal Medicine"
"University of Southern California/LAC+USC Medical Center_Internal Medicine","University of Southern California/LAC+USC Medical Center","Internal Medicine"
"Brown University_Internal Medicine","Brown University","Internal Medicine"
"Brown University/Memorial Hospital of Rhode Island_Internal Medicine","Brown University/Memorial Hospital of Rhode Island","Internal Medicine"
"Cambridge Health Alliance_Internal Medicine","Cambridge Health Alliance","Internal Medicine"
"Lahey Clinic_Internal Medicine","Lahey Clinic","Internal Medicine"
"MetroWest Medical Center_Internal Medicine","MetroWest Medical Center","Internal Medicine"
"Mount Auburn Hospital_Internal Medicine","Mount Auburn Hospital","Internal Medicine"
"Roger Williams Medical Center_Internal Medicine","Roger Williams Medical Center","Internal Medicine"
"Salem Hospital_Internal Medicine","Salem Hospital","Internal Medicine"
"St Elizabeth's Medical Center (Boston)_Internal Medicine","St Elizabeth's Medical Center (Boston)","Internal Medicine"
"St Vincent Hospital (Massachusetts)_Internal Medicine","St Vincent Hospital (Massachusetts)","Internal Medicine"
"University of Connecticut (New Britain)_Internal Medicine","University of Connecticut (New Britain)","Internal Medicine"
"University of Massachusetts_Internal Medicine","University of Massachusetts","Internal Medicine"
"Yale-New Haven Medical Center (Primary Care)_Internal Medicine","Yale-New Haven Medical Center (Primary Care)","Internal Medicine"
"Chicago Medical School at Rosalind Franklin University of Medicine and Science_Internal Medicine","Chicago Medical School at Rosalind Franklin University of Medicine and Science","Internal Medicine"
"Louisiana State University (Lafayette)_Internal Medicine","Louisiana State University (Lafayette)","Internal Medicine"
"Montefiore Medical Center/Albert Einstein College of Medicine (Mount Vernon)_Internal Medicine","Montefiore Medical Center/Albert Einstein College of Medicine (Mount Vernon)","Internal Medicine"
"Ohio State University Hospital_Internal Medicine","Ohio State University Hospital","Internal Medicine"
"Presence Saint Joseph Hospital (Chicago)_Internal Medicine","Presence Saint Joseph Hospital (Chicago)","Internal Medicine"
"Providence Health & Services - Oregon/Providence Medical Center_Internal Medicine","Providence Health & Services - Oregon/Providence Medical Center","Internal Medicine"
"Providence Health & Services - Oregon/St Vincent Hospital and Medical Center_Internal Medicine","Providence Health & Services - Oregon/St Vincent Hospital and Medical Center","Internal Medicine"
"Rush University Medical Center_Internal Medicine","Rush University Medical Center","Internal Medicine"
"Texas Health Presbyterian Dallas_Internal Medicine","Texas Health Presbyterian Dallas","Internal Medicine"
"University of Chicago (NorthShore)_Internal Medicine","University of Chicago (NorthShore)","Internal Medicine"
"University of Illinois College of Medicine at Chicago_Internal Medicine","University of Illinois College of Medicine at Chicago","Internal Medicine"
"University of Illinois College of Medicine at Chicago/Advocate Christ Medical Center_Internal Medicine","University of Illinois College of Medicine at Chicago/Advocate Christ Medical Center","Internal Medicine"
"University of Oklahoma Health Sciences Center_Internal Medicine","University of Oklahoma Health Sciences Center","Internal Medicine"
"University of Vermont Medical Center_Internal Medicine","University of Vermont Medical Center","Internal Medicine"
"University of Washington (Boise)_Internal Medicine","University of Washington (Boise)","Internal Medicine"
"Greenville Health System/University of South Carolina_Internal Medicine","Greenville Health System/University of South Carolina","Internal Medicine"
"Memorial Health-University Medical Center/Mercer University School of Medicine (Savannah)_Internal Medicine","Memorial Health-University Medical Center/Mercer University School of Medicine (Savannah)","Internal Medicine"
"Santa Barbara Cottage Hospital_Internal Medicine","Santa Barbara Cottage Hospital","Internal Medicine"
"Scripps Clinic/Scripps Green Hospital_Internal Medicine","Scripps Clinic/Scripps Green Hospital","Internal Medicine"
"University of Florida (Gainesville)_Internal Medicine","University of Florida (Gainesville)","Internal Medicine"
"University of Florida (Jacksonville )_Internal Medicine","University of Florida (Jacksonville )","Internal Medicine"
"University of South Alabama_Internal Medicine","University of South Alabama","Internal Medicine"
"University of South Florida Morsani_Internal Medicine","University of South Florida Morsani","Internal Medicine"
"California Pacific Medical Center_Internal Medicine","California Pacific Medical Center","Internal Medicine"
"Georgetown University Hospital/Washington Hospital Center_Internal Medicine","Georgetown University Hospital/Washington Hospital Center","Internal Medicine"
"Kaiser Permanente Northern California (Oakland)_Internal Medicine","Kaiser Permanente Northern California (Oakland)","Internal Medicine"
"Loyola University_Internal Medicine","Loyola University","Internal Medicine"
"Rochester Regional Health/Unity Hospital (Rochester)_Internal Medicine","Rochester Regional Health/Unity Hospital (Rochester)","Internal Medicine"
"Texas A&M College of Medicine-Scott and White Medical Center (Round Rock)_Internal Medicine","Texas A&M College of Medicine-Scott and White Medical Center (Round Rock)","Internal Medicine"
"University of Alabama Medical Center_Internal Medicine","University of Alabama Medical Center","Internal Medicine"
"Legacy Emanuel Hospital and Health Center_Internal Medicine","Legacy Emanuel Hospital and Health Center","Internal Medicine"
"Kaiser Permanente Northern California (San Francisco)_Internal Medicine","Kaiser Permanente Northern California (San Francisco)","Internal Medicine"
"Kaiser Permanente Northern California (Santa Clara)_Internal Medicine","Kaiser Permanente Northern California (Santa Clara)","Internal Medicine"
"Kaiser Permanente Southern California (Los Angeles)_Internal Medicine","Kaiser Permanente Southern California (Los Angeles)","Internal Medicine"
"Loma Linda University Health Education Consortium_Internal Medicine","Loma Linda University Health Education Consortium","Internal Medicine"
"Medical City Fort Worth_Internal Medicine","Medical City Fort Worth","Internal Medicine"
"Riverside Community Hospital/University of California Riverside School of Medicine_Internal Medicine","Riverside Community Hospital/University of California Riverside School of Medicine","Internal Medicine"
"University of Mississippi Medical Center_Internal Medicine","University of Mississippi Medical Center","Internal Medicine"
"Los Angeles County-Harbor-UCLA Medical Center_Internal Medicine","Los Angeles County-Harbor-UCLA Medical Center","Internal Medicine"
"Yale-New Haven Medical Center (Waterbury)_Internal Medicine","Yale-New Haven Medical Center (Waterbury)","Internal Medicine"
"Johns Hopkins University/Bayview Medical Center_Internal Medicine","Johns Hopkins University/Bayview Medical Center","Internal Medicine"
"Medical Center of Central Georgia/Mercer University School of Medicine_Internal Medicine","Medical Center of Central Georgia/Mercer University School of Medicine","Internal Medicine"
"Allegheny Health Network Medical Education Consortium (AGH)_Internal Medicine","Allegheny Health Network Medical Education Consortium (AGH)","Internal Medicine"
"Case Western Reserve University (MetroHealth)_Internal Medicine","Case Western Reserve University (MetroHealth)","Internal Medicine"
"Drexel University College of Medicine/Hahnemann University Hospital_Internal Medicine","Drexel University College of Medicine/Hahnemann University Hospital","Internal Medicine"
"Howard University_Internal Medicine","Howard University","Internal Medicine"
"Icahn School of Medicine at Mount Sinai (Beth Israel)_Internal Medicine","Icahn School of Medicine at Mount Sinai (Beth Israel)","Internal Medicine"
"John H Stroger Hospital of Cook County_Internal Medicine","John H Stroger Hospital of Cook County","Internal Medicine"
"Mercy Hospital and Medical Center_Internal Medicine","Mercy Hospital and Medical Center","Internal Medicine"
"Morehouse School of Medicine_Internal Medicine","Morehouse School of Medicine","Internal Medicine"
"Mount Sinai Medical Center of Florida_Internal Medicine","Mount Sinai Medical Center of Florida","Internal Medicine"
"Rutgers New Jersey Medical School_Internal Medicine","Rutgers New Jersey Medical School","Internal Medicine"
"Sidney Kimmel Medical College at Thomas Jefferson University/TJUH_Internal Medicine","Sidney Kimmel Medical College at Thomas Jefferson University/TJUH","Internal Medicine"
"St Joseph's Hospital and Medical Center (Phoenix)_Internal Medicine","St Joseph's Hospital and Medical Center (Phoenix)","Internal Medicine"
"Temple University Hospital_Internal Medicine","Temple University Hospital","Internal Medicine"
"UPMC Medical Education (Mercy)_Internal Medicine","UPMC Medical Education (Mercy)","Internal Medicine"
"Virginia Mason Medical Center_Internal Medicine","Virginia Mason Medical Center","Internal Medicine"
"University of Wisconsin_Internal Medicine","University of Wisconsin","Internal Medicine"
"University of Kentucky College of Medicine_Internal Medicine","University of Kentucky College of Medicine","Internal Medicine"
"East Tennessee State University_Internal Medicine","East Tennessee State University","Internal Medicine"
"Meharry Medical College_Internal Medicine","Meharry Medical College","Internal Medicine"
"University of Tennessee College of Medicine at Chattanooga_Internal Medicine","University of Tennessee College of Medicine at Chattanooga","Internal Medicine"
"Abington Memorial Hospital_Internal Medicine","Abington Memorial Hospital","Internal Medicine"
"Aurora Health Care_Internal Medicine","Aurora Health Care","Internal Medicine"
"Billings Clinic_Internal Medicine","Billings Clinic","Internal Medicine"
"Bronx-Lebanon Hospital Center/Albert Einstein College of Medicine_Internal Medicine","Bronx-Lebanon Hospital Center/Albert Einstein College of Medicine","Internal Medicine"
"Brookdale University Hospital and Medical Center_Internal Medicine","Brookdale University Hospital and Medical Center","Internal Medicine"
"Brookwood Baptist Health_Internal Medicine","Brookwood Baptist Health","Internal Medicine"
"Harlem Hospital Center_Internal Medicine","Harlem Hospital Center","Internal Medicine"
"HonorHealth_Internal Medicine","HonorHealth","Internal Medicine"
"Icahn School of Medicine at Mount Sinai (Bronx)_Internal Medicine","Icahn School of Medicine at Mount Sinai (Bronx)","Internal Medicine"
"Icahn School of Medicine at Mount Sinai (Queens Hospital Center)_Internal Medicine","Icahn School of Medicine at Mount Sinai (Queens Hospital Center)","Internal Medicine"
"Icahn School of Medicine at Mount Sinai (St Luke's-Roosevelt Hospital Center)_Internal Medicine","Icahn School of Medicine at Mount Sinai (St Luke's-Roosevelt Hospital Center)","Internal Medicine"
"Inova Fairfax Medical Campus_Internal Medicine","Inova Fairfax Medical Campus","Internal Medicine"
"Interfaith Medical Center_Internal Medicine","Interfaith Medical Center","Internal Medicine"
"Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GME Consortium)/Freeman_Internal Medicine","Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GME Consortium)/Freeman","Internal Medicine"
"Lehigh Valley Health Network/University of South Florida College of Medicine_Internal Medicine","Lehigh Valley Health Network/University of South Florida College of Medicine","Internal Medicine"
"Maimonides Medical Center_Internal Medicine","Maimonides Medical Center","Internal Medicine"
"Medical College of Wisconsin Affiliated Hospitals_Internal Medicine","Medical College of Wisconsin Affiliated Hospitals","Internal Medicine"
"Mercy Health System_Internal Medicine","Mercy Health System","Internal Medicine"
"New York Medical College (Metropolitan)_Internal Medicine","New York Medical College (Metropolitan)","Internal Medicine"
"New York University School of Medicine (Brooklyn)_Internal Medicine","New York University School of Medicine (Brooklyn)","Internal Medicine"
"Penn State Milton S Hershey Medical Center_Internal Medicine","Penn State Milton S Hershey Medical Center","Internal Medicine"
"Reading Hospital_Internal Medicine","Reading Hospital","Internal Medicine"
"Sidney Kimmel Medical College at Thomas Jefferson University/Christiana Care Health Services_Internal Medicine","Sidney Kimmel Medical College at Thomas Jefferson University/Christiana Care Health Services","Internal Medicine"
"St Barnabas Medical Center (New Jersey)_Internal Medicine","St Barnabas Medical Center (New Jersey)","Internal Medicine"
"St John's Episcopal Hospital-South Shore (New York)_Internal Medicine","St John's Episcopal Hospital-South Shore (New York)","Internal Medicine"
"St John's Riverside Hospital (New York)_Internal Medicine","St John's Riverside Hospital (New York)","Internal Medicine"
"SUNY Health Science Center at Brooklyn_Internal Medicine","SUNY Health Science Center at Brooklyn","Internal Medicine"
"University of Illinois College of Medicine at Peoria_Internal Medicine","University of Illinois College of Medicine at Peoria","Internal Medicine"
"Virginia Commonwealth University Health System_Internal Medicine","Virginia Commonwealth University Health System","Internal Medicine"
"University of Cincinnati Medical Center/College of Medicine_Internal Medicine","University of Cincinnati Medical Center/College of Medicine","Internal Medicine"
"University of Connecticut_Internal Medicine","University of Connecticut","Internal Medicine"
"University of Nebraska Medical Center College of Medicine_Internal Medicine","University of Nebraska Medical Center College of Medicine","Internal Medicine"
"Saint Joseph Hospital_Internal Medicine","Saint Joseph Hospital","Internal Medicine"
"St Mary's Hospital and Medical Center (San Francisco)_Internal Medicine","St Mary's Hospital and Medical Center (San Francisco)","Internal Medicine"
"Florida Atlantic University Charles E. Schmidt College of Medicine_Internal Medicine","Florida Atlantic University Charles E. Schmidt College of Medicine","Internal Medicine"
"Florida Hospital Medical Center_Internal Medicine","Florida Hospital Medical Center","Internal Medicine"
"Riverside Community Hospital/University of California Riverside_Internal Medicine","Riverside Community Hospital/University of California Riverside","Internal Medicine"
"Dwight David Eisenhower Army Medical Center_Internal Medicine","Dwight David Eisenhower Army Medical Center","Internal Medicine"
"Madigan Healthcare System_Internal Medicine","Madigan Healthcare System","Internal Medicine"
"National Capital Consortium_Internal Medicine","National Capital Consortium","Internal Medicine"
"San Antonio Uniformed Services Health Education Consortium_Internal Medicine","San Antonio Uniformed Services Health Education Consortium","Internal Medicine"
"Tripler Army Medical Center_Internal Medicine","Tripler Army Medical Center","Internal Medicine"
"Indiana University Health Ball Memorial Hospital_Internal Medicine","Indiana University Health Ball Memorial Hospital","Internal Medicine"
"University of Tennessee (Nashville)_Internal Medicine","University of Tennessee (Nashville)","Internal Medicine"
"West Virginia University_Internal Medicine","West Virginia University","Internal Medicine"
"Coney Island Hospital_Internal Medicine","Coney Island Hospital","Internal Medicine"
"Cooper Medical School of Rowan University/Cooper University Hospital_Internal Medicine","Cooper Medical School of Rowan University/Cooper University Hospital","Internal Medicine"
"Hackensack University Medical Center (Mountainside)_Internal Medicine","Hackensack University Medical Center (Mountainside)","Internal Medicine"
"Hofstra Northwell School of Medicine at Staten Island University Hospital_Internal Medicine","Hofstra Northwell School of Medicine at Staten Island University Hospital","Internal Medicine"
"Mercy Catholic Medical Center_Internal Medicine","Mercy Catholic Medical Center","Internal Medicine"
"Nazareth Hospital_Internal Medicine","Nazareth Hospital","Internal Medicine"
"New York-Presbyterian/Queens_Internal Medicine","New York-Presbyterian/Queens","Internal Medicine"
"Winthrop-University Hospital_Internal Medicine","Winthrop-University Hospital","Internal Medicine"
"Wyckoff Heights Medical Center_Internal Medicine","Wyckoff Heights Medical Center","Internal Medicine"
"Huntington Memorial Hospital_Internal Medicine","Huntington Memorial Hospital","Internal Medicine"
"University of Iowa Hospitals and Clinics_Internal Medicine","University of Iowa Hospitals and Clinics","Internal Medicine"
"Cone Health_Internal Medicine","Cone Health","Internal Medicine"
"Stony Brook Medicine/University Hospital_Internal Medicine","Stony Brook Medicine/University Hospital","Internal Medicine"
"University of Nevada Reno School of Medicine_Internal Medicine","University of Nevada Reno School of Medicine","Internal Medicine"
"Alameda Health System-Highland Hospital_Internal Medicine","Alameda Health System-Highland Hospital","Internal Medicine"
"Detroit Medical Center/Wayne State University_Internal Medicine","Detroit Medical Center/Wayne State University","Internal Medicine"
"Eastern Virginia Medical School_Internal Medicine","Eastern Virginia Medical School","Internal Medicine"
"Henry Ford Hospital/Wayne State University_Internal Medicine","Henry Ford Hospital/Wayne State University","Internal Medicine"
"Iowa Medical Education Collaborative_Internal Medicine","Iowa Medical Education Collaborative","Internal Medicine"
"St Louis University School of Medicine_Internal Medicine","St Louis University School of Medicine","Internal Medicine"
"Cleveland Clinic Foundation/Fairview Hospital_Internal Medicine","Cleveland Clinic Foundation/Fairview Hospital","Internal Medicine"
"St Mary's Hospital (St Louis)_Internal Medicine","St Mary's Hospital (St Louis)","Internal Medicine"
"Santa Clara Valley Medical Center_Internal Medicine","Santa Clara Valley Medical Center","Internal Medicine"
"St Mary Medical Center (Pennsylvania)_Internal Medicine","St Mary Medical Center (Pennsylvania)","Internal Medicine"
"Brooklyn Hospital Center_Internal Medicine","Brooklyn Hospital Center","Internal Medicine"
"Hofstra Northwell School of Medicine at Lenox Hill Hospital_Internal Medicine","Hofstra Northwell School of Medicine at Lenox Hill Hospital","Internal Medicine"
"Jacobi Medical Center/Albert Einstein College of Medicine_Internal Medicine","Jacobi Medical Center/Albert Einstein College of Medicine","Internal Medicine"
"Jamaica Hospital Medical Center/Albert Einstein College of Medicine_Internal Medicine","Jamaica Hospital Medical Center/Albert Einstein College of Medicine","Internal Medicine"
"Lincoln Medical and Mental Health Center_Internal Medicine","Lincoln Medical and Mental Health Center","Internal Medicine"
"Lutheran Family Health Center_Internal Medicine","Lutheran Family Health Center","Internal Medicine"
"Montefiore Medical Center/Albert Einstein College of Medicine (Wakefield Campus)_Internal Medicine","Montefiore Medical Center/Albert Einstein College of Medicine (Wakefield Campus)","Internal Medicine"
"Nassau University Medical Center_Internal Medicine","Nassau University Medical Center","Internal Medicine"
"New York-Presbyterian Brooklyn Methodist Hospital_Internal Medicine","New York-Presbyterian Brooklyn Methodist Hospital","Internal Medicine"
"Richmond University Medical Center_Internal Medicine","Richmond University Medical Center","Internal Medicine"
"Orlando Health_Internal Medicine","Orlando Health","Internal Medicine"
"Palmetto Health/University of South Carolina School of Medicine_Internal Medicine","Palmetto Health/University of South Carolina School of Medicine","Internal Medicine"
"Abbott-Northwestern Hospital_Internal Medicine","Abbott-Northwestern Hospital","Internal Medicine"
"University of Hawaii_Internal Medicine","University of Hawaii","Internal Medicine"
"Albany Medical Center_Internal Medicine","Albany Medical Center","Internal Medicine"
"Atlantic Health (Morristown)_Internal Medicine","Atlantic Health (Morristown)","Internal Medicine"
"Flushing Hospital Medical Center_Internal Medicine","Flushing Hospital Medical Center","Internal Medicine"
"Hennepin County Medical Center_Internal Medicine","Hennepin County Medical Center","Internal Medicine"
"Hofstra Northwell School of Medicine_Internal Medicine","Hofstra Northwell School of Medicine","Internal Medicine"
"Hofstra Northwell School of Medicine at Forest Hills Hospital_Internal Medicine","Hofstra Northwell School of Medicine at Forest Hills Hospital","Internal Medicine"
"New York Medical College at St Joseph's Medical Center_Internal Medicine","New York Medical College at St Joseph's Medical Center","Internal Medicine"
"New York Medical College at St Michael's Medical Center_Internal Medicine","New York Medical College at St Michael's Medical Center","Internal Medicine"
"Newark Beth Israel Medical Center_Internal Medicine","Newark Beth Israel Medical Center","Internal Medicine"
"Saint Peter's University Hospital/Rutgers Robert Wood Johnson Medical School_Internal Medicine","Saint Peter's University Hospital/Rutgers Robert Wood Johnson Medical School","Internal Medicine"
"SUNY Upstate Medical University_Internal Medicine","SUNY Upstate Medical University","Internal Medicine"
"University of Rochester_Internal Medicine","University of Rochester","Internal Medicine"
"Blake Medical Center_Internal Medicine","Blake Medical Center","Internal Medicine"
"Akron General Medical Center/NEOMED_Internal Medicine","Akron General Medical Center/NEOMED","Internal Medicine"
"University of Miami Miller School of Medicine/Holy Cross Hospital_Internal Medicine","University of Miami Miller School of Medicine/Holy Cross Hospital","Internal Medicine"
"University of Tennessee Medical Center at Knoxville_Internal Medicine","University of Tennessee Medical Center at Knoxville","Internal Medicine"
"Providence Hospital_Internal Medicine","Providence Hospital","Internal Medicine"
"Grand Strand Regional Medical Center_Internal Medicine","Grand Strand Regional Medical Center","Internal Medicine"
"Mountain View Hospital_Internal Medicine","Mountain View Hospital","Internal Medicine"
"Cleveland Clinic (Florida)_Internal Medicine","Cleveland Clinic (Florida)","Internal Medicine"
"Jewish Hospital of Cincinnati_Internal Medicine","Jewish Hospital of Cincinnati","Internal Medicine"
"University of Central Florida College of Medicine/HCA GME Consortium (Gainesville)_Internal Medicine","University of Central Florida College of Medicine/HCA GME Consortium (Gainesville)","Internal Medicine"
"Florida State University College of Medicine (Tallahassee)_Internal Medicine","Florida State University College of Medicine (Tallahassee)","Internal Medicine"
"Montefiore Medical Center/Albert Einstein College of Medicine (New Rochelle)_Internal Medicine","Montefiore Medical Center/Albert Einstein College of Medicine (New Rochelle)","Internal Medicine"
"Spokane Teaching Health Center_Internal Medicine","Spokane Teaching Health Center","Internal Medicine"
"Athens Regional Medical Center_Internal Medicine","Athens Regional Medical Center","Internal Medicine"
"Carolinas HealthCare System Blue Ridge_Internal Medicine","Carolinas HealthCare System Blue Ridge","Internal Medicine"
"Maine Medical Center_Internal Medicine","Maine Medical Center","Internal Medicine"
"Mercy Hospital (St Louis)_Internal Medicine","Mercy Hospital (St Louis)","Internal Medicine"
"Southern Illinois University_Internal Medicine","Southern Illinois University","Internal Medicine"
"St Luke's Hospital (Pennsylvania)_Internal Medicine","St Luke's Hospital (Pennsylvania)","Internal Medicine"
"Steward Carney Hospital_Internal Medicine","Steward Carney Hospital","Internal Medicine"
"UMMS-Baystate_Internal Medicine","UMMS-Baystate","Internal Medicine"
"Harbor Hospital Center_Internal Medicine","Harbor Hospital Center","Internal Medicine"
"St Vincent Charity Medical Center/Case Western Reserve University_Internal Medicine","St Vincent Charity Medical Center/Case Western Reserve University","Internal Medicine"
"University of Missouri-Columbia_Internal Medicine","University of Missouri-Columbia","Internal Medicine"
"Seton Hall University-Hackensack Meridian School of Medicine (St Francis)_Internal Medicine","Seton Hall University-Hackensack Meridian School of Medicine (St Francis)","Internal Medicine"
"St Mary Mercy Hospital (Michigan)_Internal Medicine","St Mary Mercy Hospital (Michigan)","Internal Medicine"
"University of Alabama Medical Center (Montgomery)_Internal Medicine","University of Alabama Medical Center (Montgomery)","Internal Medicine"
"Brandon Regional Hospital_Internal Medicine","Brandon Regional Hospital","Internal Medicine"
"Broward Health Medical Center_Internal Medicine","Broward Health Medical Center","Internal Medicine"
